Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,120,1755177261526,1755177261527.7651,1755177261528.372
3,6,120,1755177261536,1755177261537.692,1755177261538.2268
3,6,120,1755177261549,1755177261551.035,1755177261551.527
3,6,120,1755177261560,1755177261561.321,1755177261561.738
3,6,120,1755177261574,1755177261575.5972,1755177261576.053
3,6,120,1755177261586,1755177261587.7322,1755177261588.144
3,6,120,1755177261599,1755177261601.2568,1755177261601.7358
3,6,120,1755177261613,1755177261614.8,1755177261615.347
3,6,120,1755177261624,1755177261625.904,1755177261626.344
3,6,120,1755177261635,1755177261636.9421,1755177261637.4998
3,6,120,1755177261649,1755177261651.377,1755177261651.894
3,6,120,1755177261661,1755177261662.4902,1755177261662.8699
3,6,120,1755177261674,1755177261676.1611,1755177261676.58
3,6,120,1755177261686,1755177261687.9702,1755177261688.4448
3,6,120,1755177261698,1755177261699.9768,1755177261700.949
3,6,120,1755177261711,1755177261712.9668,1755177261713.492
3,6,120,1755177261722,1755177261723.5542,1755177261724.046
3,6,120,1755177261734,1755177261736.168,1755177261736.7502
3,6,120,1755177261745,1755177261747.204,1755177261747.779
3,6,120,1755177261755,1755177261756.5288,1755177261757.098
3,6,120,1755177261765,1755177261767.158,1755177261767.7979
3,6,120,1755177261777,1755177261779.593,1755177261780.241
3,6,120,1755177261790,1755177261793.735,1755177261794.2668
3,6,120,1755177261801,1755177261802.489,1755177261803.06
3,6,120,1755177261812,1755177261813.555,1755177261814.092
3,6,120,1755177261822,1755177261823.5588,1755177261824.127
3,6,120,1755177261833,1755177261834.968,1755177261835.8918
3,6,120,1755177261844,1755177261845.8472,1755177261846.5127
3,6,120,1755177261855,1755177261857.4321,1755177261858.103
3,6,120,1755177261869,1755177261871.5232,1755177261872.4329
3,6,120,1755177261881,1755177261883.142,1755177261883.8909
3,6,120,1755177261892,1755177261893.703,1755177261894.345
3,6,120,1755177261905,1755177261906.92,1755177261907.573
3,6,120,1755177261918,1755177261920.68,1755177261921.319
3,6,120,1755177261929,1755177261933.945,1755177261934.668
3,6,120,1755177261942,1755177261944.3618,1755177261944.968
3,6,120,1755177261953,1755177261955.185,1755177261955.81
3,6,120,1755177261966,1755177261968.642,1755177261969.2769
3,6,120,1755177261977,1755177261979.716,1755177261980.4622
3,6,120,1755177261988,1755177261990.8691,1755177261991.54
3,6,120,1755177261999,1755177262001.827,1755177262002.469
3,6,120,1755177262014,1755177262017.22,1755177262018.364
3,6,120,1755177262029,1755177262031.9841,1755177262032.7292
3,6,120,1755177262042,1755177262044.841,1755177262045.5732
3,6,120,1755177262056,1755177262058.389,1755177262059.175
3,6,120,1755177262071,1755177262073.426,1755177262074.396
3,6,120,1755177262085,1755177262087.497,1755177262088.208
3,6,120,1755177262098,1755177262101.1572,1755177262101.9788
3,6,120,1755177262113,1755177262135.093,1755177262135.714
3,6,120,1755177262130,1755177262148.585,1755177262149.228
3,6,120,1755177262142,1755177262157.509,1755177262158.054
3,6,120,1755177262156,1755177262165.381,1755177262165.921
3,6,120,1755177262170,1755177262173.7861,1755177262174.3538
3,6,120,1755177262181,1755177262182.954,1755177262183.5908
3,6,120,1755177262191,1755177262193.022,1755177262193.5989
3,6,120,1755177262203,1755177262204.583,1755177262205.081
3,6,120,1755177262214,1755177262216.692,1755177262217.429
3,6,120,1755177262225,1755177262226.858,1755177262227.3438
3,6,120,1755177262235,1755177262236.9302,1755177262237.4822
3,6,120,1755177262249,1755177262251.4692,1755177262252.19
3,6,120,1755177262260,1755177262261.317,1755177262261.8071
3,6,120,1755177262272,1755177262275.958,1755177262276.4421
3,6,120,1755177262288,1755177262290.5413,1755177262291.147
3,6,120,1755177262300,1755177262302.1199,1755177262302.655
3,6,120,1755177262310,1755177262312.109,1755177262312.68
3,6,120,1755177262320,1755177262323.273,1755177262323.972
3,6,120,1755177262335,1755177262336.813,1755177262337.4
3,6,120,1755177262350,1755177262352.8252,1755177262353.7148
3,6,120,1755177262361,1755177262363.074,1755177262363.5999
3,6,120,1755177262374,1755177262375.5571,1755177262376.134
3,6,120,1755177262385,1755177262386.771,1755177262387.416
3,6,120,1755177262395,1755177262397.3708,1755177262397.9648
3,6,120,1755177262406,1755177262408.0068,1755177262408.615
3,6,120,1755177262417,1755177262418.416,1755177262418.952
3,6,120,1755177262429,1755177262430.623,1755177262431.236
3,6,120,1755177262443,1755177262445.0261,1755177262445.7268
3,6,120,1755177262453,1755177262455.1401,1755177262455.6958
3,6,120,1755177262467,1755177262469.7778,1755177262470.43
3,6,120,1755177262478,1755177262480.0178,1755177262480.5918
3,6,120,1755177262491,1755177262493.3381,1755177262494.04
3,6,120,1755177262503,1755177262504.61,1755177262505.2148
3,6,120,1755177262515,1755177262517.4038,1755177262518.062
3,6,120,1755177262529,1755177262531.494,1755177262532.39
3,6,120,1755177262540,1755177262542.487,1755177262543.19
3,6,120,1755177262551,1755177262553.355,1755177262554.034
3,6,120,1755177262565,1755177262567.2659,1755177262568.075
3,6,120,1755177262578,1755177262579.9602,1755177262580.584
3,6,120,1755177262591,1755177262593.224,1755177262594.099
3,6,120,1755177262604,1755177262606.5312,1755177262607.173
3,6,120,1755177262616,1755177262619.1528,1755177262619.875
3,6,120,1755177262628,1755177262630.219,1755177262630.85
3,6,120,1755177262639,1755177262640.9778,1755177262641.619
3,6,120,1755177262651,1755177262653.606,1755177262654.3901
3,6,120,1755177262664,1755177262666.667,1755177262667.8
3,6,120,1755177262678,1755177262682.086,1755177262682.84
3,6,120,1755177262692,1755177262694.6152,1755177262695.341
3,6,120,1755177262705,1755177262707.589,1755177262708.358
3,6,120,1755177262719,1755177262721.646,1755177262722.572
3,6,120,1755177262732,1755177262735.606,1755177262736.392
3,6,120,1755177262744,1755177262746.634,1755177262747.35
3,6,120,1755177262756,1755177262758.789,1755177262759.5579
3,6,120,1755177262770,1755177262772.089,1755177262772.8599
3,6,120,1755177262781,1755177262784.547,1755177262785.349
3,6,120,1755177262794,1755177262796.527,1755177262797.167
3,6,120,1755177262807,1755177262809.323,1755177262810.057
3,6,120,1755177262819,1755177262821.749,1755177262822.5068
3,6,120,1755177262833,1755177262835.5352,1755177262836.322
3,6,120,1755177262847,1755177262849.905,1755177262851.35
3,6,120,1755177262860,1755177262862.0967,1755177262862.8118
3,6,120,1755177262872,1755177262874.3901,1755177262875.1528
3,6,120,1755177262883,1755177262886.3518,1755177262887.083
3,6,120,1755177262896,1755177262898.613,1755177262899.6182
3,6,120,1755177262910,1755177262912.2341,1755177262913.1191
3,6,120,1755177262923,1755177262925.5627,1755177262926.345
3,6,120,1755177262936,1755177262938.447,1755177262939.188
3,6,120,1755177262947,1755177262950.513,1755177262951.2163
3,6,120,1755177262962,1755177262964.176,1755177262965.048
3,6,120,1755177262974,1755177262976.706,1755177262977.4778
3,6,120,1755177262987,1755177262988.914,1755177262989.7202
3,6,120,1755177262998,1755177263001.8142,1755177263002.6062
3,6,120,1755177263010,1755177263013.4531,1755177263014.118
3,6,120,1755177263024,1755177263026.899,1755177263027.641
3,6,120,1755177263037,1755177263039.374,1755177263040.123
3,6,120,1755177263048,1755177263051.604,1755177263052.276
3,6,120,1755177263060,1755177263062.013,1755177263062.628
3,6,120,1755177263072,1755177263073.647,1755177263074.1729
3,6,120,1755177263085,1755177263087.2742,1755177263087.876
3,6,120,1755177263097,1755177263099.137,1755177263100.409
3,6,120,1755177263111,1755177263113.942,1755177263115.0662
3,6,120,1755177263124,1755177263125.1453,1755177263125.498
3,6,120,1755177263137,1755177263138.9639,1755177263139.3809
3,6,120,1755177263148,1755177263151.141,1755177263152.3088
3,6,120,1755177263160,1755177263161.5957,1755177263162.002
3,6,120,1755177263171,1755177263172.221,1755177263172.617
3,6,120,1755177263183,1755177263185.385,1755177263185.7988
3,6,120,1755177263194,1755177263195.305,1755177263195.7231
3,6,120,1755177263208,1755177263210.6272,1755177263211.0632
3,6,120,1755177263223,1755177263250.768,1755177263251.536
3,6,120,1755177263259,1755177263272.3022,1755177263272.811
3,6,120,1755177263273,1755177263280.0,1755177263280.4539
3,6,120,1755177263284,1755177263289.4258,1755177263289.913
3,6,120,1755177263296,1755177263297.7102,1755177263298.249
3,6,120,1755177263308,1755177263310.304,1755177263310.8162
3,6,120,1755177263319,1755177263320.6711,1755177263321.2102
3,6,120,1755177263329,1755177263330.879,1755177263331.47
3,6,120,1755177263341,1755177263342.7432,1755177263343.294
3,6,120,1755177263354,1755177263356.508,1755177263357.156
3,6,120,1755177263365,1755177263368.136,1755177263368.756
3,6,120,1755177263379,1755177263380.5283,1755177263381.151
3,6,120,1755177263389,1755177263390.544,1755177263391.0752
3,6,120,1755177263401,1755177263403.1511,1755177263403.91
3,6,120,1755177263415,1755177263418.605,1755177263419.2122
3,6,120,1755177263427,1755177263428.8708,1755177263429.486
3,6,120,1755177263437,1755177263439.2332,1755177263439.7812
3,6,120,1755177263450,1755177263452.46,1755177263453.1829
3,6,120,1755177263465,1755177263466.784,1755177263467.646
3,6,120,1755177263478,1755177263480.266,1755177263480.776
3,6,120,1755177263491,1755177263492.697,1755177263493.1719
3,6,120,1755177263501,1755177263502.81,1755177263503.247
3,6,120,1755177263515,1755177263517.313,1755177263517.8271
3,6,120,1755177263526,1755177263527.252,1755177263527.6448
3,6,120,1755177263536,1755177263537.67,1755177263538.08
3,6,120,1755177263549,1755177263552.633,1755177263553.5737
3,6,120,1755177263562,1755177263564.2231,1755177263564.97
3,6,120,1755177263572,1755177263574.881,1755177263575.641
3,6,120,1755177263583,1755177263586.481,1755177263587.2651
3,6,120,1755177263597,1755177263600.1082,1755177263601.31
3,6,120,1755177263611,1755177263614.2048,1755177263615.19
3,6,120,1755177263626,1755177263628.264,1755177263628.843
