Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,100,1755172707799,1755172707932.908,1755172707933.331
3,6,100,1755172707815,1755172707938.46,1755172707938.8008
3,6,100,1755172707831,1755172707944.673,1755172707945.0737
3,6,100,1755172707844,1755172707951.584,1755172707952.3762
3,6,100,1755172707857,1755172707957.71,1755172707958.049
3,6,100,1755172707872,1755172707964.175,1755172707965.0938
3,6,100,1755172707885,1755172707970.687,1755172707971.0898
3,6,100,1755172707899,1755172707976.355,1755172707977.0508
3,6,100,1755172707912,1755172707982.311,1755172707982.8213
3,6,100,1755172707923,1755172707991.967,1755172707992.274
3,6,100,1755172707937,1755172707998.092,1755172707998.451
3,6,100,1755172707950,1755172708004.9011,1755172708005.2512
3,6,100,1755172707964,1755172708011.462,1755172708011.843
3,6,100,1755172707978,1755172708017.231,1755172708017.581
3,6,100,1755172707991,1755172708023.9749,1755172708024.7651
3,6,100,1755172708003,1755172708030.89,1755172708031.2551
3,6,100,1755172708016,1755172708037.59,1755172708037.954
3,6,100,1755172708028,1755172708044.474,1755172708044.826
3,6,100,1755172708041,1755172708051.315,1755172708051.6858
3,6,100,1755172708054,1755172708058.819,1755172708059.154
3,6,100,1755172708068,1755172708070.219,1755172708071.288
3,6,100,1755172708083,1755172708086.23,1755172708087.369
3,6,100,1755172708096,1755172708097.548,1755172708097.908
3,6,100,1755172708110,1755172708126.313,1755172708127.448
3,6,100,1755172708140,1755172708156.041,1755172708156.5518
3,6,100,1755172708155,1755172708163.358,1755172708163.726
3,6,100,1755172708169,1755172708170.532,1755172708170.889
3,6,100,1755172708182,1755172708184.391,1755172708184.808
3,6,100,1755172708195,1755172708197.101,1755172708197.488
3,6,100,1755172708209,1755172708211.425,1755172708211.864
3,6,100,1755172708222,1755172708224.124,1755172708224.559
3,6,100,1755172708236,1755172708238.225,1755172708238.6748
3,6,100,1755172708250,1755172708251.816,1755172708252.295
3,6,100,1755172708262,1755172708263.5671,1755172708264.065
3,6,100,1755172708274,1755172708275.627,1755172708276.2407
3,6,100,1755172708288,1755172708290.267,1755172708290.844
3,6,100,1755172708300,1755172708301.867,1755172708302.3638
3,6,100,1755172708314,1755172708316.4001,1755172708316.9082
3,6,100,1755172708328,1755172708330.6428,1755172708331.1501
3,6,100,1755172708342,1755172708344.5781,1755172708345.0571
3,6,100,1755172708357,1755172708358.9858,1755172708359.543
3,6,100,1755172708369,1755172708371.0552,1755172708371.5708
3,6,100,1755172708381,1755172708382.928,1755172708383.446
3,6,100,1755172708395,1755172708397.3691,1755172708397.9011
3,6,100,1755172708409,1755172708411.368,1755172708411.984
3,6,100,1755172708422,1755172708423.9658,1755172708424.495
3,6,100,1755172708436,1755172708437.9202,1755172708438.439
3,6,100,1755172708451,1755172708453.794,1755172708454.8281
3,6,100,1755172708465,1755172708466.488,1755172708467.0222
3,6,100,1755172708479,1755172708480.517,1755172708480.97
3,6,100,1755172708493,1755172708496.85,1755172708497.653
3,6,100,1755172708507,1755172708508.8582,1755172708509.4888
3,6,100,1755172708520,1755172708522.43,1755172708523.3918
3,6,100,1755172708534,1755172708536.626,1755172708537.3298
3,6,100,1755172708546,1755172708548.744,1755172708549.5142
3,6,100,1755172708561,1755172708568.9148,1755172708569.6099
3,6,100,1755172708576,1755172708581.103,1755172708581.9058
3,6,100,1755172708590,1755172708593.067,1755172708593.8872
3,6,100,1755172708604,1755172708606.1199,1755172708606.8472
3,6,100,1755172708617,1755172708618.951,1755172708619.592
3,6,100,1755172708629,1755172708631.1108,1755172708631.729
3,6,100,1755172708643,1755172708646.948,1755172708647.8982
3,6,100,1755172708657,1755172708659.688,1755172708661.013
3,6,100,1755172708670,1755172708672.786,1755172708673.6108
3,6,100,1755172708683,1755172708686.045,1755172708687.0288
3,6,100,1755172708698,1755172708702.351,1755172708703.222
3,6,100,1755172708713,1755172708718.158,1755172708718.851
3,6,100,1755172708726,1755172708729.81,1755172708730.4011
3,6,100,1755172708741,1755172708743.256,1755172708744.4858
3,6,100,1755172708756,1755172708757.746,1755172708758.338
